Cognateset_ID,SourceCognateset_ID,Comment,Source_languoid,Source_form,Parallel_loan_event
7670,,cf. Modern Arabic šajara 'tree',Arabic,,false
7703,,,Arabic,,false
7701,,cf. Arabic wād 'dry riverbed',local Arabic,,false
7664,5223,,Iranic,*kata-,false
7663,,,(?Polish<)German,(?ważki<)wāga,false
7995,6447,,English,cloud,false
7719,,,Old Iranian (via Arabic),,false
7718,,,Arabic,,false
9570,,,South Slavic,,false
7704,,,Arabic,,false
7730,,,Arabic,,false
5941,,cf. German Baum,German,"bom, boum",false
6482,,,Old Occitan,artelh,false
7751,1459,,Greek,κόκκαλο(ν) / kókkalo(n),false
5628,,,,,true
7761,1534,,Greek,κούντουρος,false
7763,,,Turkish,çomak,false
8499,,'to scratch',Italian,grattare,false
8268,5419,,Luvian,u̯aru̯alan-,false
7757,,,Turkish,göl,false
5994,,,Iranian,,false
7669,,cf. Modern Arabic thalj,Arabic,,false
9572,,,South Slavic,,false
5622,,"The Turkish word is a borrowing from Persian, see cognate class http://cobl.info/cognate/718/.",Turkish,ciğer,false
7768,7535,,Low German,gel(e),false
666,338,Loan < Early Parthian spytk' (?).,Middle Iranian,spētaka-,false
6001,,,Persian,پست / past,false
489,312,,Latin,directum,false
9573,,"Cf. Macedonian блато 'marsh, swamp, bog', cf. also Albanian baltë",South Slavic,,false
5721,565,,Latin,cantāre,false
7819,,‘bright’  T. 3116,Indic,*kāśira-,true
7807,,,Sanskrit,,true
7850,565,,Italian,cantare,false
7803,915,,,,true
9574,,"Cf. Macedonian лови, Serbo-Croatian loviti",South Slavic,,false
8500,,"noun 'turn, turning'",Italian,girata,false
5958,,,Caucasian Languages,e.g. Mingrelian č̣anǯi,false
7858,,,,,true
1906,,"German loanword (cf. Prussian dialect jōk), ultimately from Lat. iocus 'joke'",German,,false
7855,7535,,(Middle) German,gël,false
7849,270,,German,spielen,false
5845,2189,,Sanskrit,,true
9575,,Cf. /cognate/7754/,Turkish (via Macedonian?),,false
4823,,,?German,"?Spat, ?Spott",false
7802,2571,,French,respirer,false
5988,,,Iranian,,false
5919,,,Turkish,kötü,false
7816,4547,‘coldness’  T. 12614.2,Indo-Iranian,šaitiya-,false
5181,,,(Low) German,vlëc(ke),false
5906,,,Turkish,dövüş,false
7852,,,German,Forst,false
8448,5794,,Persian,,false
3866,,,Sanskrit or Pali,naraka-,false
5743,,,Middle English,batte,false
2782,,,Basque,esker(r),false
1634,,,,,true
5917,,,Turkish,but,false
5967,2877,,Iranic,E.g. Av. pūiti- 'rottenness',false
6132,1831,loan from Persian پرنده pʰæɾænˈde 'bird',Persian,pʰæɾænˈde,false
5960,,,Tungusic Languages,e.g. Tunguz tokum (cf. HAB 437).,false
5961,579,May also be a loan from Proto-Germanic. Goidelic forms may be borrowed themselves from Brythonic.,Vulgar Latin,,false
3273,,,East Caucasian,,false
5633,910,,Old French,montaigne,false
5526,28,,Old_Norse,egg,false
6417,,,Welsh,cwyn,false
5905,,,Turkish,göğüs,false
1531,,,Unknown Pre-Greek substratum language,?*gʷlep⁽ʰ⁾-,false
5878,,,Italian,,false
6336,6209,,Greek,,false
8289,1409,,Old French,jalne,false
5730,930,,Latin,caelum,false
5499,201,,Old Norse,deyja,false
2381,,"Cf. OIr. céim 'step, pace, stride'",Gaulish,,false
